Order_ID,Customer_ID,Customer_Name,Age,Gender,c,Category,Sales,Order_Date
1,2126,Customer_1,19,Male,Quetta,Electronics,18485,2022-01-01 00:00:00
2,2459,Customer_2,43,Female,Quetta,Electronics,6388,2022-01-01 01:00:00
3,1860,Customer_3,30,Male,Islamabad,Electronics,69754,2022-01-01 02:00:00
4,2294,Customer_4,64,Male,Karachi,Furniture,19799,2022-01-01 03:00:00
5,2130,Customer_5,48,Female,Peshawar,Grocery,56550,2022-01-01 04:00:00
6,2095,Customer_6,51,Female,Lahore,Furniture,22536,2022-01-01 05:00:00
7,2724,Customer_7,56,Female,Peshawar,Grocery,29846,2022-01-01 06:00:00
8,2044,Customer_8,20,Male,Quetta,Furniture,27191,2022-01-01 07:00:00
9,2638,Customer_9,25,Female,Karachi,Furniture,18486,2022-01-01 08:00:00
10,1121,Customer_10,40,Male,Karachi,Electronics,28346,2022-01-01 09:00:00
11,1466,Customer_11,31,Female,Karachi,Electronics,50165,2022-01-01 10:00:00
12,2238,Customer_12,44,Female,Islamabad,Grocery,41901,2022-01-01 11:00:00
13,1330,Customer_13,46,Female,Peshawar,Grocery,74228,2022-01-01 12:00:00
14,2482,Customer_14,56,Male,Islamabad,Electronics,50554,2022-01-01 13:00:00
15,1087,Customer_15,56,Male,Lahore,Furniture,38987,2022-01-01 14:00:00
16,2396,Customer_16,18,Male,Quetta,Grocery,9912,2022-01-01 15:00:00
17,2123,Customer_17,34,Male,Islamabad,Clothing,51973,2022-01-01 16:00:00
18,1871,Customer_18,58,Male,Islamabad,Clothing,67053,2022-01-01 17:00:00
19,2687,Customer_19,47,Male,Quetta,Clothing,5779,2022-01-01 18:00:00
20,1130,Customer_20,30,Male,Karachi,Grocery,76448,2022-01-01 19:00:00
21,2685,Customer_21,38,Male,Quetta,Electronics,8212,2022-01-01 20:00:00
22,2332,Customer_22,36,Male,Peshawar,Electronics,16317,2022-01-01 21:00:00
23,1769,Customer_23,36,Female,Quetta,Electronics,54332,2022-01-01 22:00:00
24,1343,Customer_24,42,Female,Karachi,Grocery,56724,2022-01-01 23:00:00
25,2515,Customer_25,39,Male,Quetta,Grocery,7124,2022-01-02 00:00:00
26,2437,Customer_26,48,Male,Islamabad,Clothing,29626,2022-01-02 01:00:00
27,1805,Customer_27,34,Male,Lahore,Grocery,37962,2022-01-02 02:00:00
28,1385,Customer_28,40,Male,Islamabad,Clothing,59176,2022-01-02 03:00:00
29,2215,Customer_29,49,Female,Lahore,Clothing,47315,2022-01-02 04:00:00
30,1955,Customer_30,27,Female,Quetta,Electronics,26593,2022-01-02 05:00:00
31,1276,Customer_31,27,Male,Peshawar,Grocery,33025,2022-01-02 06:00:00
32,2184,Customer_32,53,Female,Quetta,Electronics,29530,2022-01-02 07:00:00
33,1459,Customer_33,25,Female,Karachi,Electronics,44567,2022-01-02 08:00:00
34,2337,Customer_34,37,Male,Quetta,Grocery,5707,2022-01-02 09:00:00
35,1021,Customer_35,49,Male,Lahore,Grocery,76933,2022-01-02 10:00:00
36,1252,Customer_36,31,Male,Islamabad,Furniture,27139,2022-01-02 11:00:00
37,1747,Customer_37,45,Male,Peshawar,Clothing,3292,2022-01-02 12:00:00
38,1856,Customer_38,63,Female,Quetta,Furniture,920,2022-01-02 13:00:00
39,2584,Customer_39,41,Male,Quetta,Clothing,19698,2022-01-02 14:00:00
40,1474,Customer_40,32,Female,Islamabad,Clothing,36108,2022-01-02 15:00:00
41,2082,Customer_41,39,Male,Peshawar,Clothing,46705,2022-01-02 16:00:00
42,1510,Customer_42,47,Female,Quetta,Electronics,18375,2022-01-02 17:00:00
43,2705,Customer_43,21,Male,Quetta,Electronics,71011,2022-01-02 18:00:00
44,2499,Customer_44,30,Male,Lahore,Grocery,21831,2022-01-02 19:00:00
45,1699,Customer_45,40,Female,Lahore,Clothing,17393,2022-01-02 20:00:00
46,1975,Customer_46,25,Female,Karachi,Clothing,65413,2022-01-02 21:00:00
47,2806,Customer_47,35,Female,Islamabad,Clothing,18743,2022-01-02 22:00:00
48,1189,Customer_48,29,Male,Peshawar,Electronics,16035,2022-01-02 23:00:00
49,1957,Customer_49,48,Female,Quetta,Grocery,63703,2022-01-03 00:00:00
50,1686,Customer_50,31,Female,Quetta,Electronics,71097,2022-01-03 01:00:00
51,1957,Customer_51,51,Female,Karachi,Furniture,67894,2022-01-03 02:00:00
52,1562,Customer_52,35,Female,Quetta,Furniture,25989,2022-01-03 03:00:00
53,2899,Customer_53,51,Female,Islamabad,Furniture,79714,2022-01-03 04:00:00
54,2590,Customer_54,28,Female,Karachi,Grocery,13846,2022-01-03 05:00:00
55,2267,Customer_55,58,Female,Islamabad,Furniture,48505,2022-01-03 06:00:00
56,1831,Customer_56,29,Female,Karachi,Grocery,7273,2022-01-03 07:00:00
57,2528,Customer_57,32,Female,Quetta,Electronics,75824,2022-01-03 08:00:00
58,2154,Customer_58,48,Male,Karachi,Electronics,32843,2022-01-03 09:00:00
59,2508,Customer_59,46,Male,Lahore,Grocery,75283,2022-01-03 10:00:00
60,2842,Customer_60,43,Female,Peshawar,Electronics,46463,2022-01-03 11:00:00
61,1646,Customer_61,35,Male,Quetta,Electronics,42483,2022-01-03 12:00:00
62,1020,Customer_62,49,Male,Peshawar,Grocery,36472,2022-01-03 13:00:00
63,1840,Customer_63,39,Female,Quetta,Furniture,17459,2022-01-03 14:00:00
64,1166,Customer_64,55,Female,Peshawar,Grocery,34633,2022-01-03 15:00:00
65,2297,Customer_65,34,Female,Lahore,Clothing,51650,2022-01-03 16:00:00
66,1387,Customer_66,40,Female,Peshawar,Electronics,22234,2022-01-03 17:00:00
67,1600,Customer_67,41,Female,Karachi,Grocery,17900,2022-01-03 18:00:00
68,1315,Customer_68,25,Female,Peshawar,Electronics,20502,2022-01-03 19:00:00
69,1013,Customer_69,58,Male,Quetta,Furniture,36992,2022-01-03 20:00:00
70,1241,Customer_70,23,Female,Islamabad,Electronics,31375,2022-01-03 21:00:00
71,1776,Customer_71,22,Male,Peshawar,Grocery,25546,2022-01-03 22:00:00
72,2369,Customer_72,61,Female,Peshawar,Furniture,24164,2022-01-03 23:00:00
73,1564,Customer_73,46,Female,Peshawar,Furniture,24953,2022-01-04 00:00:00
74,1897,Customer_74,45,Male,Quetta,Furniture,5246,2022-01-04 01:00:00
75,2363,Customer_75,28,Female,Peshawar,Clothing,13717,2022-01-04 02:00:00
76,1091,Customer_76,18,Female,Quetta,Grocery,63684,2022-01-04 03:00:00
77,2390,Customer_77,60,Male,Quetta,Grocery,42335,2022-01-04 04:00:00
78,1955,Customer_78,36,Female,Islamabad,Furniture,9633,2022-01-04 05:00:00
79,2478,Customer_79,26,Male,Karachi,Electronics,41033,2022-01-04 06:00:00
80,2451,Customer_80,44,Female,Quetta,Furniture,5904,2022-01-04 07:00:00
81,1508,Customer_81,51,Female,Lahore,Clothing,33839,2022-01-04 08:00:00
82,1775,Customer_82,61,Male,Peshawar,Furniture,29225,2022-01-04 09:00:00
83,2966,Customer_83,21,Female,Lahore,Grocery,74832,2022-01-04 10:00:00
84,1034,Customer_84,53,Male,Peshawar,Furniture,45880,2022-01-04 11:00:00
85,1205,Customer_85,35,Male,Islamabad,Electronics,48573,2022-01-04 12:00:00
86,2104,Customer_86,32,Male,Quetta,Grocery,61373,2022-01-04 13:00:00
87,2955,Customer_87,30,Female,Karachi,Electronics,41841,2022-01-04 14:00:00
88,2585,Customer_88,36,Female,Quetta,Furniture,1736,2022-01-04 15:00:00
89,2895,Customer_89,23,Male,Peshawar,Grocery,68416,2022-01-04 16:00:00
90,2411,Customer_90,29,Female,Karachi,Clothing,15038,2022-01-04 17:00:00
91,2025,Customer_91,54,Female,Quetta,Grocery,12471,2022-01-04 18:00:00
92,2021,Customer_92,34,Female,Karachi,Electronics,39155,2022-01-04 19:00:00
93,2413,Customer_93,40,Male,Peshawar,Grocery,77522,2022-01-04 20:00:00
94,1565,Customer_94,43,Female,Islamabad,Clothing,61284,2022-01-04 21:00:00
95,2129,Customer_95,46,Male,Islamabad,Clothing,61789,2022-01-04 22:00:00
96,2795,Customer_96,50,Female,Quetta,Clothing,37910,2022-01-04 23:00:00
97,2845,Customer_97,44,Female,Lahore,Clothing,51802,2022-01-05 00:00:00
98,2500,Customer_98,42,Male,Peshawar,Electronics,22203,2022-01-05 01:00:00
99,1702,Customer_99,27,Female,Quetta,Grocery,44691,2022-01-05 02:00:00
100,1401,Customer_100,64,Male,Quetta,Furniture,54612,2022-01-05 03:00:00
101,1729,Customer_101,40,Female,Islamabad,Clothing,11899,2022-01-05 04:00:00
102,2579,Customer_102,38,Male,Karachi,Furniture,13185,2022-01-05 05:00:00
103,1161,Customer_103,38,Female,Peshawar,Furniture,4987,2022-01-05 06:00:00
104,1201,Customer_104,60,Female,Karachi,Grocery,12518,2022-01-05 07:00:00
105,2981,Customer_105,30,Female,Peshawar,Furniture,31325,2022-01-05 08:00:00
106,1995,Customer_106,54,Male,Lahore,Furniture,8250,2022-01-05 09:00:00
107,1269,Customer_107,50,Male,Islamabad,Electronics,59456,2022-01-05 10:00:00
108,2886,Customer_108,41,Male,Lahore,Furniture,50729,2022-01-05 11:00:00
109,1815,Customer_109,61,Female,Quetta,Grocery,43618,2022-01-05 12:00:00
110,2294,Customer_110,28,Male,Islamabad,Furniture,60115,2022-01-05 13:00:00
111,1455,Customer_111,34,Male,Quetta,Grocery,57790,2022-01-05 14:00:00
112,2485,Customer_112,21,Male,Lahore,Clothing,15605,2022-01-05 15:00:00
113,2750,Customer_113,64,Male,Peshawar,Furniture,19413,2022-01-05 16:00:00
114,2275,Customer_114,42,Male,Quetta,Furniture,50015,2022-01-05 17:00:00
115,2016,Customer_115,47,Male,Karachi,Furniture,47842,2022-01-05 18:00:00
116,2725,Customer_116,26,Male,Peshawar,Clothing,52684,2022-01-05 19:00:00
117,1295,Customer_117,38,Male,Peshawar,Electronics,61006,2022-01-05 20:00:00
118,2748,Customer_118,37,Male,Lahore,Furniture,25467,2022-01-05 21:00:00
119,1719,Customer_119,36,Male,Lahore,Grocery,36523,2022-01-05 22:00:00
120,2772,Customer_120,36,Female,Islamabad,Electronics,54788,2022-01-05 23:00:00
121,1337,Customer_121,29,Female,Islamabad,Electronics,27122,2022-01-06 00:00:00
122,1878,Customer_122,54,Male,Karachi,Electronics,45701,2022-01-06 01:00:00
123,2076,Customer_123,59,Female,Peshawar,Furniture,75533,2022-01-06 02:00:00
124,1791,Customer_124,34,Female,Karachi,Clothing,16850,2022-01-06 03:00:00
125,2945,Customer_125,54,Male,Karachi,Clothing,55320,2022-01-06 04:00:00
126,1216,Customer_126,56,Male,Lahore,Furniture,49209,2022-01-06 05:00:00
127,1763,Customer_127,45,Male,Karachi,Grocery,27970,2022-01-06 06:00:00
128,1187,Customer_128,58,Female,Karachi,Grocery,31389,2022-01-06 07:00:00
129,1379,Customer_129,52,Male,Quetta,Grocery,10724,2022-01-06 08:00:00
130,1492,Customer_130,64,Female,Islamabad,Furniture,5965,2022-01-06 09:00:00
131,2064,Customer_131,35,Male,Islamabad,Clothing,55714,2022-01-06 10:00:00
132,2180,Customer_132,31,Female,Peshawar,Furniture,3444,2022-01-06 11:00:00
133,1014,Customer_133,52,Female,Islamabad,Clothing,24836,2022-01-06 12:00:00
134,2836,Customer_134,61,Male,Peshawar,Electronics,39124,2022-01-06 13:00:00
135,1064,Customer_135,58,Male,Quetta,Furniture,65706,2022-01-06 14:00:00
136,2880,Customer_136,24,Female,Islamabad,Clothing,45264,2022-01-06 15:00:00
137,2862,Customer_137,58,Female,Quetta,Electronics,45920,2022-01-06 16:00:00
138,1520,Customer_138,30,Male,Islamabad,Electronics,66171,2022-01-06 17:00:00
139,2367,Customer_139,35,Male,Islamabad,Furniture,16273,2022-01-06 18:00:00
140,2152,Customer_140,54,Female,Quetta,Clothing,26947,2022-01-06 19:00:00
141,1647,Customer_141,30,Male,Karachi,Electronics,4533,2022-01-06 20:00:00
142,2495,Customer_142,53,Female,Karachi,Furniture,56352,2022-01-06 21:00:00
143,2086,Customer_143,48,Male,Karachi,Electronics,20997,2022-01-06 22:00:00
144,2162,Customer_144,19,Male,Karachi,Grocery,72582,2022-01-06 23:00:00
145,2522,Customer_145,33,Male,Islamabad,Furniture,74432,2022-01-07 00:00:00
146,1592,Customer_146,26,Female,Lahore,Electronics,21478,2022-01-07 01:00:00
147,1391,Customer_147,26,Male,Quetta,Furniture,13382,2022-01-07 02:00:00
148,2698,Customer_148,55,Female,Lahore,Furniture,17445,2022-01-07 03:00:00
149,1418,Customer_149,28,Male,Lahore,Clothing,56985,2022-01-07 04:00:00
150,1288,Customer_150,39,Female,Peshawar,Clothing,69350,2022-01-07 05:00:00
151,1378,Customer_151,50,Female,Karachi,Electronics,60370,2022-01-07 06:00:00
152,2796,Customer_152,53,Male,Islamabad,Furniture,19095,2022-01-07 07:00:00
153,2513,Customer_153,62,Female,Karachi,Furniture,64538,2022-01-07 08:00:00
154,1230,Customer_154,40,Female,Karachi,Grocery,56626,2022-01-07 09:00:00
155,2017,Customer_155,62,Female,Lahore,Furniture,35949,2022-01-07 10:00:00
156,1040,Customer_156,62,Female,Peshawar,Clothing,19139,2022-01-07 11:00:00
157,2051,Customer_157,51,Male,Karachi,Furniture,45870,2022-01-07 12:00:00
158,1134,Customer_158,26,Male,Quetta,Clothing,75128,2022-01-07 13:00:00
159,1200,Customer_159,41,Male,Quetta,Grocery,72418,2022-01-07 14:00:00
160,2863,Customer_160,25,Female,Karachi,Electronics,43210,2022-01-07 15:00:00
161,1779,Customer_161,24,Female,Lahore,Clothing,54551,2022-01-07 16:00:00
162,1929,Customer_162,53,Male,Lahore,Electronics,61139,2022-01-07 17:00:00
163,2056,Customer_163,35,Male,Islamabad,Electronics,3659,2022-01-07 18:00:00
164,2071,Customer_164,20,Female,Peshawar,Electronics,71692,2022-01-07 19:00:00
165,1502,Customer_165,45,Male,Lahore,Electronics,67488,2022-01-07 20:00:00
166,1406,Customer_166,23,Male,Islamabad,Clothing,19206,2022-01-07 21:00:00
167,2597,Customer_167,61,Female,Quetta,Grocery,10362,2022-01-07 22:00:00
168,2751,Customer_168,61,Male,Quetta,Furniture,10719,2022-01-07 23:00:00
169,1804,Customer_169,38,Female,Quetta,Clothing,35036,2022-01-08 00:00:00
170,1098,Customer_170,45,Male,Karachi,Grocery,72132,2022-01-08 01:00:00
171,1683,Customer_171,57,Female,Peshawar,Furniture,77891,2022-01-08 02:00:00
172,2895,Customer_172,18,Female,Islamabad,Electronics,63386,2022-01-08 03:00:00
173,1725,Customer_173,53,Female,Peshawar,Furniture,34437,2022-01-08 04:00:00
174,2570,Customer_174,38,Female,Karachi,Furniture,21594,2022-01-08 05:00:00
175,1960,Customer_175,60,Female,Islamabad,Grocery,28424,2022-01-08 06:00:00
176,2762,Customer_176,52,Male,Islamabad,Furniture,623,2022-01-08 07:00:00
177,1612,Customer_177,30,Male,Lahore,Electronics,53649,2022-01-08 08:00:00
178,2966,Customer_178,27,Male,Peshawar,Clothing,71945,2022-01-08 09:00:00
179,2485,Customer_179,61,Female,Peshawar,Clothing,32354,2022-01-08 10:00:00
180,1642,Customer_180,64,Male,Lahore,Grocery,61296,2022-01-08 11:00:00
181,2792,Customer_181,27,Female,Quetta,Electronics,69932,2022-01-08 12:00:00
182,2028,Customer_182,63,Female,Karachi,Electronics,59468,2022-01-08 13:00:00
183,2241,Customer_183,30,Male,Peshawar,Furniture,41334,2022-01-08 14:00:00
184,1502,Customer_184,54,Female,Lahore,Grocery,17611,2022-01-08 15:00:00
185,1766,Customer_185,55,Male,Islamabad,Electronics,73075,2022-01-08 16:00:00
186,1397,Customer_186,41,Female,Lahore,Electronics,24599,2022-01-08 17:00:00
187,1870,Customer_187,19,Female,Quetta,Electronics,69706,2022-01-08 18:00:00
188,1794,Customer_188,39,Male,Karachi,Clothing,50793,2022-01-08 19:00:00
189,1392,Customer_189,34,Female,Quetta,Clothing,15529,2022-01-08 20:00:00
190,1206,Customer_190,53,Male,Islamabad,Clothing,32311,2022-01-08 21:00:00
191,2038,Customer_191,31,Female,Islamabad,Furniture,16293,2022-01-08 22:00:00
192,2881,Customer_192,27,Male,Islamabad,Furniture,48606,2022-01-08 23:00:00
193,2577,Customer_193,52,Female,Islamabad,Furniture,1472,2022-01-09 00:00:00
194,1891,Customer_194,42,Male,Lahore,Electronics,860,2022-01-09 01:00:00
195,2484,Customer_195,20,Male,Islamabad,Clothing,3132,2022-01-09 02:00:00
196,2714,Customer_196,64,Female,Islamabad,Electronics,36458,2022-01-09 03:00:00
197,2598,Customer_197,55,Male,Lahore,Electronics,18508,2022-01-09 04:00:00
